spanish,english,sdgs
"EstÃ¡ maÃ±ana el puerto de Cartagena ha acogido el ejercicio ""Clean Port Cartagena"" "," This morning, the port of Cartagena has hosted the ""Clean Port Cartagena"" exercise ",
se trata de un simulacro de incendio en buque con vertido al mar de fenol , it is a simulation of a fire on a ship with phenol spill into the sea ,"3,14"
"Con ello se pretende comprobar el funcionamiento  del Plan Interior MarÃ­timo del puerto de Cartagena, (PIM),  aprobado este aÃ±o y que da respuesta a episodios de contaminaciÃ³n marina "," this aims to verify the operation of the Maritime Interior Plan of the port of Cartagena, approved this year and responding to marine pollution episodes ","3,14"
TambiÃ©n se han activado el Plan de Emergencia Interior (PEI) del puerto de Cartagena , The Interior Emergency Plan (PEI) of the port of Cartagena has also been activated ,"3,14"
en fase de alerta el Plan MarÃ­timo Nacional , The National Maritime Plan is on alert ,"3,14"
"El ejercicio ha consistido en la activaciÃ³n de los planes anteriormente citados tras el simulacro de incendio en la mÃ¡quina principal del buque Fenol One (nombre ficticio) fondeado en Zona II del puerto de Cartagena, y que estÃ¡ a la espera de asignaciÃ³n  de lugar de atraque "," The exercise has involved the activation of the aforementioned plans following the simulated fire in the main engine of the ship Fenol One (fictional name) anchored in Zone II of the port of Cartagena, awaiting berth assignment ","3,14"
Tras ser controlado el incendio se detecta que el barco vierte una cantidad sin determinar de fenol al mar ," After the fire is controlled, it is detected that the ship spills an undetermined amount of phenol into the sea ","3,14"
"se trata de un producto clasificado  toxico y nocivo, que emana vapores que afectan a los ojos "," it is a classified toxic and harmful product, emitting vapors that affect the eyes ","3,14"
"Tras el incendio y la activaciÃ³n del PEI, se pasa de la Fase Alerta a la Fase Verde y, posteriormente a la Fase Azul por emergencia en el agua, tal y como se especifica  en el Plan de Emergencia del puerto de Cartagena "," After the fire and the activation of the PEI, the Alert Phase transitions to the Green Phase and then to the Blue Phase due to water emergency, as specified in the Emergency Plan of the port of Cartagena ","3,14"
"Una vez extinguido el incendio, se ha pasado de alerta a emergencia por el vertido tÃ³xico "," Once the fire is extinguished, the alert has transitioned to an emergency due to the toxic spill ","3,14"
"TambiÃ©n se han activado los Planes Locales y Territoriales por contaminaciÃ³n marina (Ayuntamientos afectados â Cartagena y MazarrÃ³n, y Comunidad AutÃ³noma-112) y, en fase de alerta, el Plan MarÃ­timo Nacional "," Local and Territorial Plans for marine pollution have also been activated (affected municipalities - Cartagena and MazarrÃ³n, and Autonomous Community-112) and, in the alert phase, the National Maritime Plan ","3,14"
"En la operativa desplegada en el Puerto han participado mÃ¡s de 300 tÃ©cnicos, se han movilizado 10 embarcaciones, ambulancias, equipos especÃ­ficos para actuaciones en ambientes contaminados, vehÃ­culos de transporte, etc "," The operation deployed at the Port involved more than 300 technicians, 10 boats mobilized, ambulances, specific equipment for actions in contaminated environments, transportation vehicles, etc ","3,9,14"
"AdemÃ¡s de CapitanÃ­a MarÃ­tima y Autoridad Portuaria han participado y desplegado medios la Armada, DelegaciÃ³n del Gobierno, Sasemar, el 112 de la Comunidad AutÃ³noma, amarradores, prÃ¡cticos y remolcadores, Guardia Civil, Bomberos de Cartagena, Cartago Marpol, la empresa LBC Tank, Cemesa, Cruz Roja y la empresa especializada en control de este tipo de episodios SGS, asÃ­ como los ayuntamientos de Cartagena y MazarrÃ³n "," In addition to Maritime Captaincy and Port Authority, the Navy, Government Delegation, Sasemar, the 112 of the Autonomous Community, mooring operators, pilots and tugboats, Civil Guard, Firefighters of Cartagena, Cartago Marpol, the company LBC Tank, Cemesa, Red Cross, and the specialized company in controlling these episodes SGS, as well as the municipalities of Cartagena and MazarrÃ³n have participated and deployed resources ","3,9,14"
