sentence | translation | sdg  
En estos ocho meses he aprendido muchísimo y he podido pasar de la idea a tener un verdadero proyecto empresarial | In these eight months I have learned a lot and have been able to move from the idea to having a real business project | 4  
Así explica la psicóloga Raquel Navarro su paso por el programa Murcia Open Futuro 2023 del Hub Carthago para desarrollar su herramienta Therapsytime para profesionales de la salud mental, que ha concluido hoy con el acto 'Demoday' de presentación de las ocho startups impulsadas en esta iniciativa de fomento del emprendimiento que desarrolla la Universidad Politécnica de Cartagena (UPCT) y el Instituto de Fomento (INFO) con apoyo de la Cátedra de Emprendimiento Santander-UPCT y cofinanciación del Fondo Europeo de Desarrollo Regional (FEDER) | This is how psychologist Raquel Navarro explains her participation in the Murcia Open Futuro 2023 program at the Hub Carthago to develop her Therapsytime tool for mental health professionals, which concluded today with the 'Demoday' event presenting the eight startups driven by this entrepreneurship initiative developed by the Polytechnic University of Cartagena (UPCT) and the Institute of Development (INFO) with the support of the Santander-UPCT Entrepreneurship Chair and co-financed by the European Regional Development Fund (ERDF) | 8  
Entre los emprendedores participantes, el egresado del máster en Agronegocios de la UPCT Mateo Quinde ha expuesto junto a su socia Yuli Andrea Herrera la plataforma digital Foraviler.com, con la que conectan a agricultores e industrias para dar uso a los alimentos que no se comercializan por su aspecto, el llamado destrío | Among the participating entrepreneurs, UPCT Agrifood Business master's graduate Mateo Quinde has presented alongside his partner Yuli Andrea Herrera the digital platform Foraviler.com, which connects farmers and industries to make use of food that is not marketed due to its appearance, known as 'destrío' | 2  
Ya han conseguido salvar del vertedero 15.000 kilos de zanahoria | They have already saved 15,000 kilograms of carrots from the landfill | 12  
En su web, actualmente tienen a la venta zanahorias y limones y cualquier proveedor puede ofrecer sus productos descartados | On their website, they currently have carrots and lemons for sale, and any supplier can offer their discarded products | 12  
“Durante las prácticas del máster vi que se podía reducir mucho el desperdicio alimentario”, recuerda el egresado de la Politécnica, satisfecho de haber recibido “orientación para hacer despegar el negocio y lograr las primeras transacciones” | "During the master's internship, I saw that food waste could be greatly reduced," recalls the Polytechnic graduate, pleased to have received "guidance to launch the business and achieve the first transactions" | 12  
La sostenibilidad es también el valor diferencial de Atakkama, el proyecto de la diseñadora de ropa Emilia María García Vera para desarrollar y comercializar biocuero, una 'piel' vegana y ecológica que se crea a partir de bacterias, en un proceso similar al de la bebida kombucha | Sustainability is also the differential value of Atakkama, the project by clothing designer Emilia María García Vera to develop and market biocotton, a vegan and ecological 'skin' created from bacteria, in a process similar to that of kombucha | 12  
“Hemos conseguido una impermeabilización natural, para no utilizar productos químicos y que sea biodegradable”, resalta la emprendedora, que ha elegido como nombre de su proyecto el de un desierto convertido en vertedero de ropa y que inició el proyecto por las reacciones a los tejidos con productos químicos que sufren sus familiares | "We have achieved natural waterproofing, to avoid using chemicals and to be biodegradable," highlights the entrepreneur, who has chosen the name of her project as one where a desert becomes a clothing landfill and started the project due to the reactions to chemical-treated fabrics experienced by her family | 12  
“En el Hub Carthago me han guiado para encontrar la diferenciación de mi proyecto”, comenta | "At the Hub Carthago, they have guided me to find the differentiation of my project," she comments | 9  
La aplicación Finmetric de ayuda a la toma de decisiones financieras mediante Inteligencia Artificial, de la startup Devontic, ha sido otro de los proyectos empresariales presentados esta mañana en la UPCT, en una jornada inaugurada por la rectora, Beatriz Miguel, y el jefe del departamento de Crecimiento Empresarial del INFO, Álvaro Armada | The Finmetric app, which assists in financial decision-making using Artificial Intelligence, from the Devontic startup, was another of the business projects presented this morning at the UPCT, in a session opened by the rector, Beatriz Miguel, and the head of the Business Growth department of the INFO, Álvaro Armada | 8  
Antes de la exposición de los emprendedores ha impartido una charla la responsable de Santander Startups en Comunidad Valenciana y Región de Murcia, Rosa Sánchez | Before the entrepreneurs' presentation, Rosa Sánchez, responsible for Santander Startups in the Valencian Community and the Region of Murcia, gave a talk | 8  
También han expuesto sus planes de negocio Toksuel, que propone tokenizar con blockchain las inversiones inmobiliarias; Gastrochat, que fomenta las recomendaciones y reseñas en restauración; Fiscoo, que ofrece planes para ahorrar en impuestos, y Cómic Vivo | They have also presented their business plans Toksuel, which proposes to tokenize real estate investments through blockchain; Gastrochat, which encourages recommendations and reviews in catering; Fiscoo, which offers tax-saving plans, and Cómic Vivo | 9  
Los emprendedores han contado con la ayuda de los servicios de consultoría de los mentores José Manuel Antón (COEC), Marian Ferrer (Take Off) y Javier Medina (Social Revolution), que han impulsado su despegue y desarrollo | The entrepreneurs have had the support of consulting services from mentors José Manuel Antón (COEC), Marian Ferrer (Take Off), and Javier Medina (Social Revolution), who have boosted their take-off and development | 8
