sentence | translation | sdg 
La "valentía", en palabras de la rectora de la UPCT, Beatriz Miguel, de hacer un TFE en una empresa ha sido hoy premiada. | The "courage", in the words of the rector of the UPCT, Beatriz Miguel, to do a TFE in a company has been awarded today. | 8
La Politécnica de Cartagena ha acogido la entrega de galardones y reconocimientos a estudiantes y tutores participantes en el programa Encuentro TF del Campus Mare Nostrum, financiado por la Dirección General de Universidades y que promueve la realización de trabajos finales de estudios en empresas, así como el emprendimiento del alumnado. | The Polytechnic University of Cartagena has hosted the award ceremony and recognition for students and tutors participating in the Encounter TF program of the Campus Mare Nostrum, funded by the General Directorate of Universities and promoting the completion of final studies projects in companies, as well as student entrepreneurship. | 4
El primer premio al mejor Trabajo Fin de Grado en la UPCT desarrollado en una empresa ha sido para Mercedes Navarro Martínez, ingeniera en Sistemas de Telecomunicación, por su modelo de análisis de parámetros medioambientales para predecir el estado del agua en el Mar Menor. | The first prize for the best Bachelor's Thesis at UPCT developed in a company was awarded to Mercedes Navarro Martínez, a Telecommunication Systems engineer, for her model of analysis of environmental parameters to predict the state of the water in the Mar Menor. | 6
Lo realizó en el Centro Tecnológico Naval y del Mar, con la tutora de empresa Rosa Martínez y el tutor académico Mathieu Kessler. | She carried out this at the Naval and Marine Technology Center, with the company tutor Rosa Martínez and the academic tutor Mathieu Kessler. | 9
El segundo premio a TFG de la UPCT ha recaído en Miriam Riouch Mhine por su TFG en Ingeniería Telemática en el que desarrolló un sistema de monitorización y estimación de la ocupación de la biblioteca de Antigones de la Politécnica de Cartagena. | The second prize for TFG at UPCT has been awarded to Miriam Riouch Mhine for her TFG in Telematics Engineering, in which she developed a monitoring and estimation system for the occupancy of the Antigones library at the Polytechnic University of Cartagena. | 4
Lo realizó en la compañía HOPU, con el tutor de empresa Daniel Ros y el tutor académico Alejandro Santos. | She carried out this in the company HOPU, with the company tutor Daniel Ros and the academic tutor Alejandro Santos. | 8
El primer premio en la categoría de Trabajos Finales de Máster lo ha obtenido Aitor Fernández López de Aguileta, del máster en Industria 4.0, por sus estudios prácticos sobre la interacción cognitiva entre humanos y cobots, realizado en la empresa Frumecar. | The first prize in the Master's Final Works category was awarded to Aitor Fernández López de Aguileta, from the Industry 4.0 Master's program, for his practical studies on the cognitive interaction between humans and cobots, carried out at Frumecar company. | 4
Su tutor allí fue Pedro Ayala Bernal y en la UPCT, Antonio Guerrero. | His tutor there was Pedro Ayala Bernal and at UPCT, Antonio Guerrero. | 4
El segundo premio para TFM lo ha conseguido Miguel Ángel Ortega Velázquez, del máster en Ingeniería Telemática, por su sistema de geolocalización de contenedores en el circuito logístico de la empresa Cartago Marpol. | The second prize for TFM has been awarded to Miguel Ángel Ortega Velázquez, from the Master's program in Telematics Engineering, for his container geolocation system in the logistics circuit of the Cartago Marpol company. | 9
Su tutora en la compañía fue Mercedes Vicente y en la UPCT, Alejandro Santos. | His tutor in the company was Mercedes Vicente and at UPCT, Alejandro Santos. | 9
