sentence | translation | sdg
Nueva actividad del proyecto ACCQUA. | New activity of the ACCQUA project. | 9
Los artistas encargados de la parte creativa de la iniciativa Arte Con Ciencia sobre los reQuerimientos Universales del Agua han explicado hoy a los estudiantes de Bachillerato de Artes del IES Isaac Peral, de Cartagena, cómo se van a desarrollar las actividades planificadas. | The artists in charge of the creative part of the initiative 'Art With Science on the Universal Requirements of Water' explained today to the Arts Baccalaureate students of IES Isaac Peral, in Cartagena, how the planned activities will be developed. | 4
ACCQUA es un proyecto con acciones que unen pasado, presente y futuro frente al reto del agua. | ACCQUA is a project with actions that unite the past, present, and future in the face of the water challenge. | 6
El objetivo principal: sumar arte y ciencia a la concienciación sobre el buen uso del agua. | The main objective: to combine art and science in raising awareness about the proper use of water. | 6
Contempla diversas actividades en diferentes espacios de la ciudad que se desarrollarán hasta el próximo verano. | It includes various activities in different areas of the city that will take place until next summer. | 9
Al finalizar la conferencia, los preuniversitarios han visitado el Museo del Agua y la Energía, ubicado en el campus Alfonso XIII. | At the end of the conference, pre-university students visited the Water and Energy Museum, located on the Alfonso XIII campus. | 9
El proyecto ACCQUA (FCT-22-18736) está dirigido por Javier Pérez de la Cruz, profesor del departamento de Ingeniería Minera y Civil de la UPCT. | The ACCQUA project (FCT-22-18736) is led by Javier Pérez de la Cruz, a professor in the Department of Mining and Civil Engineering at UPCT. | 9
Está financiado por la Fundación Española para la Ciencia y la Tecnología (FECYT). | It is funded by the Spanish Foundation for Science and Technology (FECYT). | 9
Destaca en este proyecto la participación conjunta y colaborativa de diferentes entidades. | The joint and collaborative participation of different entities stands out in this project. | 17
Junto a la UPCT colaboran: la Mancomunmidad de los Canales del Taibilla, el Ayuntamiento de Cartagena, Hidrogea, el Centro de Estudios Históricos de Obras Públicas y Urbanismo (CEHOPU-CEDEX), el museo del Teatro Romano, el quipo de investigación artística, el Conservatorio de Música y los Institutos de Educación Secundaria Ben Arabí e Isaac Peral. | Along with the UPCT, the following entities collaborate: the Commonwealth of the Taibilla Canals, the Cartagena City Council, Hidrogea, the Center for Historical Studies of Public Works and Urbanism (CEHOPU-CEDEX), the Roman Theater Museum, the artistic research team, the Conservatory of Music, and the Ben Arabí and Isaac Peral Secondary Education Institutes. | 17
