sentence|translation|sdg
Investigadores de la Escuela de Ingeniería Industrial de la UPCT han desarrollado herramientas de Industria 4.0 que, a través de big data, permiten conocer cuándo se puede ahorrar agua en los cultivos agrícolas y, de este modo, optimizar el consumo.|Researchers from the School of Industrial Engineering at UPCT have developed Industry 4.0 tools that, through big data, allow knowing when water can be saved in agricultural crops and thus optimize consumption.|6
Se trata de un software que utiliza e interpreta datos de múltiples sensores y permite tomar decisiones para ahorrar agua.|This is a software that uses and interprets data from multiple sensors and allows making decisions to save water.|6
Los ensayos se han realizado en La Majada, una finca experimental de cultivo de granado del grupo Paloma, ubicada en Mazarrón, que cuenta con más de 130 sensores.|The trials have been conducted at ‘La Majada,’ an experimental pomegranate cultivation farm of the Paloma group, located in Mazarrón, which has more than 130 sensors.|9
Los investigadores han desarrollado una plataforma sobre código libre que automatiza la descarga de los datos de sensores IoT (Internet Of Things) instalados en las parcelas agrícolas,  procesa la información, la analiza y ofrece indicadores para que el agrónomo sepa, por ejemplo, si la planta está estresada y precisa agua.|The researchers have developed an open-source platform that automates the download of data from IoT sensors installed in agricultural plots, processes the information, analyzes it, and provides indicators so that the agronomist knows, for example, if the plant is stressed and needs water.|6
De esta manera optimizamos los recursos y minimizamos los errores en la interpretación de los datos, además de enviar avisos automatizados mediante bots de Telegram en caso de incidencias como un nivel de estrés hídrico perjudicial para la planta o el fallo de un sensor, afirman Ana Toledo y Manuel Jiménez, directores del Trabajo fin de Máster, del departamento de Automática, Ingeniería Eléctrica y Tecnología Electrónica.|In this way, we optimize resources and minimize errors in data interpretation, as well as send automated alerts via Telegram bots in the event of incidents such as harmful water stress levels for the plant or sensor failure, say Ana Toledo and Manuel Jiménez, directors of the Master's Thesis, from the Department of Automation, Electrical Engineering, and Electronic Technology.|6
Toledo y Jiménez han dirigido el Trabajo Fin de Máster titulado Plataforma IoT para la recolección y visualización de datos agronómicos, realizado por Adrián Saura Ródenas, estudiante del máster en Industria 4.0, coordinado por Antonio Guerrero.|Toledo and Jiménez have supervised the Master's Thesis titled "IoT Platform for the collection and visualization of agronomic data," carried out by Adrián Saura Ródenas, a master's student in Industry 4.0, coordinated by Antonio Guerrero.|9
Este desarrollo se ha desarrollado mediante los ensayos realizados en el proyecto de investigación PID2019-106226RB-C22 / AEI / 10.13039/501100011033, financiado por el Ministerio de Ciencia e Innovación.|This development has been carried out through trials conducted in the research project PID2019-106226RB-C22 / AEI / 10.13039/501100011033, funded by the Ministry of Science and Innovation.|9
Roque Torres, investigador responsable del grupo PRISMA, Sistemas de Precisión para la Sostenibilidad Agroalimentaria, Medioambiental y Social, destaca que el software reduce considerablemente el tiempo que necesita el agrónomo para capturar la información, realizar cálculos matemáticos, analizar los datos y extraer la información de los sensores instalados en las fincas.|Roque Torres, the researcher in charge of the PRISMA group, Precision Systems for Agri-Food, Environmental, and Social Sustainability, highlights that software significantly reduces the time needed by the agronomist to capture information, perform mathematical calculations, analyze data, and extract information from the sensors installed on the farms.|2
El grupo Sistemas de Precisión para la Sostenibilidad Agroalimentaria, Medioambiental y Social, está especializado desde hace varios años en la instrumentación y automatización de sistemas agrícolas y medioambientales para la gestión óptima de recursos hídricos.|The Precision Systems for Agri-Food, Environmental, and Social Sustainability group has been specializing for several years in the instrumentation and automation of agricultural and environmental systems for the optimal management of water resources.|6
Los resultados de sus proyectos se están utilizando en numerosas fincas agrícolas de la Región de Murcia con el objetivo de la optimización y ahorro del agua.|The results of their projects are being used in numerous agricultural farms in the Region of Murcia with the aim of optimization and water savings.|6
