sentence | SDG
Arrancan las I Olimpiadas Nacionales de Teleco para despertar vocaciones científico-tecnológicas entre estudiantes preuniversitarios a través de retos vinculados a los ODS. | 4
Ocho centros de Secundaria de la Región compiten este sábado en esta prueba, que se celebra en la Escuela Técnica Superior de Ingeniería de Telecomunicación. | 4
Serán 48 preuniversitarios los que midan sus conocimientos. | 4
Tienen que desarrollar soluciones creativas e innovadoras con ayuda de la tecnología para un reto #ODS. | 9
La Olimpiada propone dos competiciones: una práctica por equipos destinada al alumnado de 3º y 4º de ESO y Ciclos Formativos de Grado Medio y Superior, y otra individual destinada al alumnado de Bachillerato. | 4
Para el desarrollo práctico de la competición por equipos, y como elemento unificador de los trabajos, se utilizarán los ODS de la Agenda 2030. | 4
En concreto, quienes deseen participar deben dar solución a algunas de las metas establecidas en el objetivo de desarrollo sostenible 11: CIUDADES Y COMUNIDADES SOSTENIBLES. | 4
En el reto se debe ver cómo las telecomunicaciones están integradas o ayudan a conseguir dichos objetivos/metas, y se deberá desarrollar un prototipo basado en cualquier plataforma programable con el IDE de Arduino con el que se ponga de manifiesto dicha relación, por ejemplo, mediante un sistema de comunicaciones 5G, LoRaWAN, WiFi, Bluetooth, etc. | 4
Los equipos deberán exponer y defender el sistema elegido y desarrollado ante un tribunal universitario, explicando no sólo el diseño del prototipo sino también cómo han integrado las telecomunicaciones para la consecución del objetivo planteado. | 4
Para la prueba individual se propondrá la resolución de un conjunto de problemas relacionados, directa o indirectamente, con la Ingeniería de Telecomunicación. | 4
Para ello, los/las participantes deberán demostrar una utilización ingeniosa de herramientas físico-matemáticas fundamentales, adquiridas a lo largo de la ESO en su itinerario de Ciencias. | 4
El evento de ámbito nacional está organizado por el Colegio Oficial de Ingenieros Técnicos de Telecomunicación (COITT) y la Asociación Española de Graduados & Ingenieros Técnicos de Telecomunicación (AEGITT), junto con la Conferencia de Directores de Escuelas con Grados de Ingeniería en el Ámbito de Telecomunicación (CODIGAT), que aglutina a una veintena de escuelas universitarias como patrocinadoras y colaboradoras. | 4
Esta Olimpiada es el resultado de una ayuda a la organización de olimpiadas científicas de la Región de Murcia financiada por la Consejería de Empresa, Empleo, Universidades y Portavocía, a través de la Fundación Séneca-Agencia de Ciencia y Tecnología de la Región de Murcia. | 4
