sentence | translation | SDG
La Universidad Politécnica de Cartagena acoge este jueves y viernes el Congreso de Jóvenes Investigadores SIMIP23 | The Polytechnic University of Cartagena hosts this Thursday and Friday the Congress of Young Researchers SIMIP23 | 
en el que alrededor de un centenar de estudiantes de primero de Bachillerato de los institutos de Cartagena San Isidoro, Mediterráneo e Isaac Peral expondrán los proyectos de investigación en los que han estado trabajando este curso | in which around a hundred first-year high school students from the institutes of Cartagena San Isidoro, Mediterráneo, and Isaac Peral will present the research projects they have been working on this academic year | 4
El evento se celebrará en el Paraninfo de la UPCT, situado en la Escuela Técnica Superior de Ingeniería Industrial, y será inaugurado este jueves a las 17:00 horas por la vicerrectora de Investigación, Transferencia y Divulgación, Catalina Egea | The event will take place at the Auditorium of the UPCT, located at the Higher Technical School of Industrial Engineering, and will be inaugurated this Thursday at 17:00 hours by the Vice-Rector for Research, Transfer, and Dissemination, Catalina Egea | 4
SIMIP es una iniciativa de divulgación dentro del marco de colaboración entre la UPCT y los tres institutos que poseen bachillerato de investigación de Cartagena, con la finalidad de promocionar y acercar la investigación a los estudiantes preuniversitarios | SIMIP is a dissemination initiative within the framework of collaboration between the UPCT and the three institutes with research baccalaureate in Cartagena, with the aim of promoting and bringing research closer to pre-university students | 4
El congreso, coordinado por la Unidad de Cultura Científica y de la Innovación de la UPCT, cuenta con la colaboración de la Fundación Española para la Ciencia y la Tecnología  Ministerio de Ciencia e Innovación y de la Asamblea Regional de Murcia | The congress, coordinated by the Scientific Culture and Innovation Unit of the UPCT, has the collaboration of the Spanish Foundation for Science and Technology - Ministry of Science and Innovation and the Regional Assembly of Murcia | 4
Además, forma parte de las actividades de Goes to school, proyecto asociado a la Noche Europea de los Investigadores de la Unión Europea | Furthermore, it is part of the activities of 'Goes to school', a project associated with the 'European Researchers' Night' of the European Union | 4
El alumnado presentará un total de 21 proyectos de investigación de temáticas muy diversas, como el uso de la inteligencia artificial en la construcción del lenguaje, la viabilidad de un edificio verde en Cartagena, la repercusión del confinamiento en el consumo de alcohol entre adolescentes, la relación entre los videojuegos y las tendencias agresivas o el diseño de un prototipo para evitar desbordamientos en la Rambla de Benipila | The students will present a total of 21 research projects on very diverse topics, such as the use of artificial intelligence in language construction, the viability of a green building in Cartagena, the impact of confinement on alcohol consumption among adolescents, the relationship between video games and aggressive trends, or the design of a prototype to prevent overflows in the Benipila Rambla | 4
Además de contar con la tutorización de sus profesores, los estudiantes también han recibido el asesoramiento del personal investigador de la UPCT para desarrollar sus proyectos | In addition to being supervised by their teachers, the students have also received guidance from the research staff at UPCT to develop their projects | 4
Posteriormente, volverán al Paraninfo para asistir a una ponencia del exalumno de la UPCT Jesús Damián Blasco sobre la aplicación de la ingeniería a la acción social y a la salud desde un punto de vista humanístico, presentando diferentes soluciones para medir el equilibrio o la capacidad de atención de las personas mediante herramientas tecnológicas | Later, they will return to the Auditorium to attend a lecture by UPCT's former student Jesús Damián Blasco on the application of engineering to social action and health from a humanistic perspective, presenting different solutions to measure the balance or attention capacity of people using technological tools | 4
El evento finalizará con la intervención del vicerrector de Estudiantes, Cultura y Deportes, Sergio Amat, y con la entrega de diplomas a los estudiantes participantes | The event will conclude with an intervention by the Vice-Rector for Students, Culture, and Sports, Sergio Amat, and the delivery of diplomas to the participating students | 4
