entities,count,label
También,114,PER
Beatriz Miguel,83,PER
Antonio Sevilla,60,PER
Universidades,48,PER
Empresa,35,PER
Tecnología,34,PER
Inteligencia Artificial,29,PER
Bachillerato,29,PER
Empleo,23,PER
Según,22,PER
Está,22,PER
Así,21,PER
Rafael Toledo,17,PER
también,17,PER
Han,16,PER
Ingeniería de Telecomunicación,16,PER
Joaquín Segado,15,PER
Isaac Peral,15,PER
Patricio Franco,14,PER
Fundación Séneca-Agencia de Ciencia,12,PER
Beatriz Miguel Hernández,12,PER
Ingeniería Naval,12,PER
Patricia Reus,11,PER
Arquitectura Naval,11,PER
Catalina Egea,11,PER
Marie Sk?odowska-Curie,11,PER
Ingeniería de Edificación,11,PER
Corredor Mediterráneo,10,PER
Alfonso XIII,10,PER
Lola Ojados,10,PER
Estudios,10,PER
Erasmus,10,PER
Anastasio Díaz,9,PER
Pedro Rivera,9,PER
Responsabilidad Social Corporativa,9,PER
Sergio Amat,9,PER
Juan Ángel Pastor,9,PER
Autoridades Portuarias,9,PER
Joan Subirats,9,PER
graduación,9,PER
Electrónica,9,PER
Raúl Zornoza,8,PER
Más,8,PER
Fernando Muñoz,8,PER
Lola Cano,8,PER
Pedro Pablo Hernández,8,PER
CORE,8,PER
según,7,PER
Fermín Rol,7,PER
Carlos Parra,7,PER
Antonio Pérez Garrido,7,PER
Jaume Blancafort,7,PER
José Luján,7,PER
Pedro Martínez Pagán,7,PER
Desarrollo,7,PER
Lola Gómez,7,PER
Juan María Vázquez,7,PER
Pedro Sánchez Palma,7,PER
Joaquín Roca,7,PER
Ingeniería de Caminos,7,PER
Encarna Aguayo,7,PER
Francisco Bernabé,6,PER
Camarillas,6,PER
Juan García Bermejo,6,PER
Habrá,6,PER
Jesús Ochoa,6,PER
llegó,6,PER
Energía,6,PER
Andalucía,6,PER
Plan de Recuperación,6,PER
Francisco Artés Hernández,6,PER
María José Muñoz,6,PER
Internacionalización,6,PER
Segado,6,PER
Noelia Arroyo,6,PER
continuación,6,PER
Puertas Padilla,6,PER
Francisco Alcón,5,PER
Pese,5,PER
Cálculo Científico,5,PER
Alfredo Fresneda,5,PER
Cartagena”,5,PER
Ricardo Segado,5,PER
Teresa Allepuz,5,PER
Campus Talentum,5,PER
Isaac Peral del CIM,5,PER
Edición,5,PER
Tienen,5,PER
Sobresaliente Cum Laude,5,PER
Juan Medina,5,PER
Antonio Guerrero,5,PER
Modelización,5,PER
Alejandro Pérez Pastor,5,PER
Natalia Carbajosa,5,PER
TikTok,5,PER
Francisco Cavas,5,PER
Pedro García Martínez,5,PER
Djamil Tony Kahale Carrillo,5,PER
Industrias Agroalimentarias,5,PER
CIFEA,5,PER
“Lo,5,PER
Álvaro Armada,5,PER
Tecnología Electrónica,5,PER
Cálculo,5,PER
Fernando Cerdán,5,PER
Portavocía,5,PER
