sentence|translation|sdg
El catedrático de la UPCT David Sánchez ha intervenido en la serie de divulgación científica Universo Sostenible|"Professor David Sánchez from UPCT has participated in the scientific dissemination series ""Sustainable Universe"""|4
 dentro de La Aventura del Saber de TVE|"within the program ""La Aventura del Saber"" on TVE"|4
 en el capítulo titulado ¿Cómo impactará en nuestra vida la llegada del 5G, emitido este miércoles en La 2 de RTVE|"in the chapter titled ""How will the arrival of 5G impact our lives"", broadcasted this Wednesday on La 2 de RTVE"|4
 Sánchez es fundador de EMITE, primera spin-off de la UPCT y en la actualidad con sede propia y participada por ésta|Sánchez is the founder of EMITE, the first spin-off of UPCT and currently with its own headquarters and partially owned by it|9
 La tecnología 5G ha remodelado el mundo tal y como lo conocíamos|5G technology has reshaped the world as we knew it|9
 Ante este contexto, David Sánchez Hernández, catedrático e investigador del grupo I+D del Departamento de Tecnologías de la Información y las Comunicaciones de la UPCT, destaca que la tecnología 5G contiene tres grandes y principales mejoras|In this context, David Sánchez Hernández, professor and researcher of the R&D group of the Department of Information and Communication Technologies of UPCT, highlights that 5G technology includes three major improvements|4
 En primer lugar, la interconexión de millones de elementos, que ha habilitado el Internet of Things, para que puedan existir sensores que se comunican e interconectan con todos los demás|Firstly, the interconnection of millions of elements, which has enabled the Internet of Things, allowing sensors to communicate and interconnect with each other|9
 En segundo lugar, aumenta las velocidades de transmisión y recepción de datos de varios Gbps por usuario, que habilita una inmersión virtual hasta ahora jamás experimentada|Secondly, it increases data transmission and reception speeds of several Gbps per user, enabling a virtual immersion never experienced before|9
 Y como tercer beneficio, las conexiones ultrarrápidas han habilitado los vehículos sin conductor o las operaciones telemáticas a larga distancia|And as a third benefit, ultra-fast connections have enabled driverless vehicles or long-distance telematic operations|9
 La empresa EMITE Ingeniería y la Universidad Politécnica de Cartagena crearon en 2018 la Cátedra de Empresa 5G Lab, que sirve de apoyo al primer laboratorio 5G de Prueba y Medida en el Aire (OTA) de España, que EMITE ha instalado en la Región de Murcia|EMITE Ingeniería and the Polytechnic University of Cartagena created the 5G Lab Company Chair in 2018, which supports the first 5G Air Test and Measurement laboratory in Spain, installed by EMITE in the Region of Murcia|9
 En EMITE diseñan, desarrollan, fabrican y comercializan unos complejos sistemas de prueba y medida que permiten evaluar el comportamiento de un terminal inalámbrico, como un teléfono móvil, o una televisión, en todas las etapas de un producto|At EMITE, they design, develop, manufacture, and market complex test and measurement systems that allow evaluating the behavior of a wireless terminal, such as a mobile phone or television, at all stages of a product|9
