,count
Cartagena,743
UPCT,710
Universidad,560
Ingeniería,521
Politécnica,476
Los,476
estudiantes,429
proyecto,384
"Cartagena,",372
Región,340
Escuela,326
"UPCT,",268
investigación,248
proyectos,218
Puerto,218
curso,214
programa,212
Murcia,207
desarrollo,205
Cartagena.,200
UPCT.,198
Autoridad,194
José,189
colaboración,188
año,187
actividades,187
investigadores,181
universidades,179
Arquitectura,174
trabajo,174
Antonio,172
Portuaria,171
formación,167
años,159
objetivo,159
Juan,154
empresas,153
"Murcia,",148
Este,147
Tecnología,144
Esta,142
Ciencia,142
alumnos,141
María,140
profesor,139
forma,136
grado,132
edición,130
presidente,127
director,127
Industrial,126
of,126
empresa,126
Se,117
puerto,117
Fundación,116
personas,115
IES,115
sector,114
Europea,114
gestión,114
Por,113
También,111
actividad,111
trabajos,109
iniciativa,107
grupo,107
Francisco,105
semana,103
premio,102
estudios,102
Beatriz,101
García,100
datos,99
máster,99
equipo,99
Superior,98
tecnologías,98
millones,97
explica,97
Pedro,96
-,95
ámbito,94
Mar,93
ciudad,93
tesis,93
lugar,93
equipos,92
Ministerio,92
profesores,92
celebra,91
evento,91
Murcia.,90
Asociación,89
Centro,89
euros,88
participado,88
profesionales,88
investigador,87
Técnica,87
participan,87
"Además,",87
acto,87
Innovación,87
Para,86
sistema,85
Durante,85
Miguel,84
Española,84
agua,83
Ayuntamiento,82
España,82
A,82
personal,81
estudio,81
premios,80
"y,",79
Entre,78
Unión,78
oferta,77
Martínez,77
San,77
Cátedra,76
Campus,76
servicios,76
convocatoria,76
(UPCT),74
Universidades,74
Ciencias,74
Desarrollo,74
Telecomunicación,74
tecnología,73
calidad,73
University,72
viernes,72
campus,72
instalaciones,72
Instituto,72
centros,72
sistemas,71
participantes,71
jornada,70
fase,69
prácticas,69
innovación,69
cabo,68
entorno,68
Empresa,68
tipo,67
and,67
responsable,67
departamento,67
Tecnologías,67
técnicas,66
espacio,66
información,66
soluciones,66
movilidad,66
desarrollado,66
mejorar,65
Gobierno,64
comunidad,64
Consejo,64
profesora,64
Investigación,63
principal,63
Cultura,63
mes,63
vida,63
Congreso,63
mejores,63
transporte,63
centro,63
nivel,63
egresados,63
instituciones,62
destacado,62
general,62
oportunidad,62
financiación,62
Santa,62
Sánchez,61
De,61
importancia,61
celebrado,61
universidad,61
recursos,61
Edificación,60
Internacional,60
jueves,60
Investigadores,60
materia,59
divulgación,59
mañana,59
mejora,59
apoyo,59
seguridad,58
Industriales,58
diseño,58
Javier,58
Administración,58
horas,58
realizan,57
Medio,57
temas,57
permite,56
Carlos,56
Nacional,56
desarrollar,56
acciones,55
Colegio,55
organizado,55
alumnado,55
creación,54
rectora,54
financiado,54
acceso,54
25,54
Naval,54
número,54
Servicio,54
digital,54
"Miguel,",53
valor,53
ingeniería,53
"que,",53
Manuel,53
mundo,53
experiencia,53
estudiante,53
carrera,53
dirigido,53
Sistemas,52
talleres,52
